Customer.ID,Gender,Age,Married,Number.of.Dependents,City,Zip.Code,Latitude,Longitude,Number.of.Referrals,Tenure.in.Months,Offer,Phone.Service,Avg.Monthly.Long.Distance.Charges,Multiple.Lines,Internet.Service,Internet.Type,Avg.Monthly.GB.Download,Online.Security,Online.Backup,Device.Protection.Plan,Premium.Tech.Support,Streaming.TV,Streaming.Movies,Streaming.Music,Unlimited.Data,Contract,Paperless.Billing,Payment.Method,Monthly.Charge,Total.Charges,Total.Refunds,Total.Extra.Data.Charges,Total.Long.Distance.Charges,Total.Revenue,Customer.Status,Churn.Category,Churn.Reason
0020-INWCK,0,58,1,2,Woodlake,93286,36.464635,-119.094348,9,71,1,1,27.26,2,1,2,12,1,2,2,1,1,2,2,2,2,1,1,95.75,6849.4,0,0,1935.46,8784.86,2,3,14
0020-JDNXP,0,52,1,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,0,0,0,0,1,1,20,2,1,2,2,2,2,2,2,1,0,1,61.25,1993.2,0,0,0,1993.2,2,3,14
0021-IKXGC,0,72,0,0,San Marcos,92078,33.119028,-117.166036,0,1,5,1,7.77,2,1,2,22,1,1,1,1,1,1,1,2,1,1,0,72.1,72.1,0,0,7.77,79.87,1,3,14
0022-TCJCI,1,79,0,0,Daly City,94015,37.680844,-122.48131,0,45,0,1,10.67,1,1,1,17,2,1,2,1,1,2,1,2,1,0,1,62.7,2791.5,0,0,480.15,3271.65,0,2,11
0023-HGHWL,1,67,0,0,Morgan Hill,95037,37.161544,-121.649371,0,1,0,0,0,0,1,0,9,1,1,1,1,1,1,1,2,0,1,0,25.1,25.1,0,0,0,25.1,0,1,3
0023-UYUPN,0,79,1,0,Ahwahnee,93601,37.375816,-119.739935,0,50,0,1,31.43,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,25.2,1306.3,0,0,1571.5,2877.8,2,3,14
0023-XUOPT,0,26,1,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,0,1,43.56,2,1,2,52,1,2,2,1,2,1,1,2,0,0,0,94.1,1215.6,0,0,566.28,1781.88,0,4,7
0027-KWYKW,0,30,1,2,Alpaugh,93201,35.869626,-119.498771,1,23,4,1,34.91,2,1,2,30,1,1,1,1,2,1,1,2,0,1,0,83.75,1849.95,0,0,802.93,2652.88,2,3,14
0030-FNXPP,0,22,0,0,Keeler,93530,36.560498,-117.962461,0,3,0,1,3.12,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19.85,57.2,0,0,9.36,66.56,1,3,14
0031-PVLZI,0,34,1,0,Korbel,95550,40.7666,-123.80458,0,4,5,1,12.43,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,20.35,76.35,0,0,49.72,126.07,0,5,12
0032-PGELS,0,37,1,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,0,0,0,0,1,1,19,2,1,1,1,1,1,1,2,0,0,0,30.5,30.5,0,0,0,30.5,0,0,0
0036-IHMOT,0,37,1,3,Parlier,93648,36.622237,-119.521126,10,55,0,1,35.04,1,1,2,57,1,2,2,2,2,2,2,1,1,1,0,103.7,5656.75,0,20,1927.2,7603.95,2,3,14
0040-HALCW,1,42,1,3,Modesto,95358,37.612612,-121.108568,3,54,0,1,19.7,1,0,3,0,0,0,0,0,0,0,0,0,2,0,1,20.4,1090.6,0,0,1063.8,2154.4,2,3,14
0042-JVWOJ,1,64,0,0,Glen Ellen,95442,38.368744,-122.522642,0,26,3,1,37.7,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,19.6,471.85,21.25,0,980.2,1430.8,2,3,14
0042-RLHYP,0,47,1,3,Eureka,95503,40.737431,-124.108897,5,69,0,1,38.39,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,19.7,1396.9,0,0,2648.91,4045.81,2,3,14
0048-LUMLS,1,23,1,3,Moss Beach,94038,37.515556,-122.502311,1,37,3,1,43.01,1,1,2,51,1,1,1,1,2,2,2,2,1,0,1,91.2,3247.55,0,0,1591.37,4838.92,2,3,14
0048-PIHNL,0,48,1,0,Los Angeles,90058,34.001617,-118.222274,5,49,2,1,49.58,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,20.45,900.9,0,0,2429.42,3330.32,2,3,14
0052-DCKON,1,28,1,0,Los Angeles,90063,34.044271,-118.185237,9,66,0,1,43.77,2,1,2,41,2,2,2,2,2,2,2,2,1,0,0,-2,7942.15,0,0,2888.82,10830.97,2,3,14
0052-YNYOT,0,28,0,0,Calexico,92231,32.690654,-115.431225,0,67,0,1,23.12,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,20.55,1343.4,30.53,0,1549.04,2861.91,2,3,14
0056-EPFBG,1,33,1,1,Redding,96003,40.677649,-122.29467,4,20,0,0,0,0,1,0,22,2,1,2,2,1,1,1,2,2,1,1,39.4,825.4,0,0,0,825.4,2,3,14
0057-QBUQH,0,31,0,3,San Martin,95046,37.084697,-121.606417,0,43,0,1,30.64,2,0,3,0,0,0,0,0,0,0,0,0,2,1,0,25.1,1070.15,0,0,1317.52,2387.67,2,3,14
0058-EVZWM,0,37,1,0,Stockton,95209,38.044523,-121.348048,2,55,2,1,5.08,2,1,2,9,2,1,1,1,2,1,1,2,0,1,0,89.8,4959.6,0,0,279.4,5239,2,3,14
0060-FUALY,0,60,1,0,Los Angeles,90003,33.964131,-118.272783,4,59,2,1,16.39,2,1,2,14,2,2,1,1,2,1,1,2,0,1,0,94.75,5597.65,0,0,967.01,6564.66,2,3,14
0064-SUDOG,0,48,1,3,Huntington Park,90255,33.97803,-118.217141,3,12,0,1,19.28,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,20.3,224.5,0,0,231.36,455.86,2,3,14
0064-YIJGF,1,60,1,3,Yermo,92398,35.013299,-116.834092,7,27,3,1,25.26,2,1,2,23,1,1,1,1,1,1,1,2,0,1,0,75.75,1929,0,0,682.02,2611.02,2,3,14
0067-DKWBL,1,69,0,0,San Diego,92129,32.961064,-117.134917,0,2,0,1,43.99,1,1,1,27,2,1,1,1,1,1,1,2,0,1,0,49.25,91.1,0,0,87.98,179.08,0,1,3
0068-FIGTF,0,20,0,0,Fremont,94539,37.516791,-121.899117,0,27,3,1,48.91,1,1,1,59,1,2,2,2,2,2,2,2,1,0,1,78.2,2078.95,0,0,1320.57,3399.52,2,3,14
0071-NDAFP,1,31,1,3,Santa Rosa,95405,38.439696,-122.668817,1,25,0,1,23.69,2,0,3,0,0,0,0,0,0,0,0,0,2,0,1,25.5,630.6,44.42,0,592.25,1178.43,2,3,14
0074-HDKDG,1,46,1,0,San Jose,95126,37.327069,-121.916819,5,25,0,1,6.45,1,1,0,19,2,2,2,1,1,1,1,2,1,1,0,61.6,1611,44.9,0,161.25,1727.35,2,3,14
0076-LVEPS,1,57,0,1,Tujunga,91042,34.296574,-118.244839,0,29,0,0,0,0,1,1,21,2,2,2,2,1,1,1,2,0,1,1,45,1242.45,12.26,0,0,1230.19,2,3,14
0078-XZMHT,1,19,1,0,Visalia,93291,36.391777,-119.372842,5,72,0,1,32.36,2,1,1,52,1,2,2,2,2,2,2,2,2,1,0,85.15,6316.2,0,0,2329.92,8646.12,2,3,14
0080-EMYVY,0,64,0,0,Lodi,95240,38.123544,-121.159078,0,14,0,1,24.04,1,1,0,12,1,2,1,1,1,1,1,2,1,0,1,51.45,727.85,0,0,336.56,1064.41,2,3,14
0080-OROZO,0,38,0,0,El Portal,95318,37.654551,-119.822984,0,35,3,1,36.42,1,1,2,2,1,1,2,2,2,2,2,2,1,1,0,99.25,3532,0,0,1274.7,4806.7,2,3,14
0082-LDZUE,1,54,0,0,Calistoga,94515,38.629618,-122.593216,0,1,5,1,42.95,1,1,1,9,1,1,1,1,1,1,1,2,0,1,1,44.3,44.3,0,0,42.95,87.25,1,3,14
0082-OQIQY,1,50,0,0,Farmington,95230,37.956963,-120.863055,0,29,0,1,2.05,1,1,2,17,1,1,1,2,2,2,2,1,0,1,0,94.2,2607.6,0,20,59.45,2687.05,2,3,14
0083-PIVIK,1,25,0,0,Tulelake,96134,41.813521,-121.492666,0,64,0,1,5.49,2,1,1,69,2,2,2,2,2,1,1,1,1,0,0,81.25,5567.55,0,40,351.36,5958.91,2,3,14
0089-IIQKO,0,35,1,3,Coleville,96107,38.42528,-119.475741,1,39,0,1,24.38,2,1,2,53,1,1,1,2,2,2,2,2,0,1,1,99.95,3767.4,0,0,950.82,4718.22,2,3,14
0093-EXYQL,0,72,0,0,Ojai,93023,34.581308,-118.931948,0,40,0,1,44.14,1,1,2,23,1,1,1,1,2,2,1,2,2,1,0,91.55,3673.6,0,0,1765.6,5439.2,2,3,14
0093-XWZFY,1,51,0,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,0,1,37.69,2,1,2,15,1,2,2,1,2,2,2,2,0,1,1,104.5,4036.85,0,0,1507.6,5544.45,0,1,2
0094-OIFMO,0,78,0,1,North Hollywood,91605,34.207295,-118.400022,0,11,4,1,11.59,1,1,2,29,1,2,1,1,2,2,1,1,0,1,0,95,1120.3,0,120,127.49,1367.79,0,2,19
0096-BXERS,0,30,1,0,Inverness,94937,38.099323,-122.945723,10,6,5,1,42.66,2,1,0,85,1,1,1,1,1,1,1,2,0,0,0,50.35,314.55,0,0,255.96,570.51,2,3,14
0096-FCPUF,1,58,0,0,Santa Rosa,95404,38.526941,-122.709096,0,30,0,1,2.64,2,1,1,15,2,1,1,1,1,2,2,2,0,1,2,64.5,1888.45,0,0,79.2,1967.65,2,3,14
0098-BOWSO,1,26,0,0,San Jose,95131,37.387027,-121.897775,0,27,0,1,20.66,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,19.4,529.8,0,0,557.82,1087.62,2,3,14
0100-DUVFC,1,66,1,0,Wilmington,90744,33.782068,-118.262263,3,70,0,1,39.49,2,1,2,28,1,2,2,1,2,2,1,2,1,1,0,104.8,7308.95,6.11,0,2764.3,10067.14,2,3,14
0103-CSITQ,0,20,1,0,Modesto,95357,37.670526,-120.877572,10,57,2,1,8.01,2,1,2,73,1,2,2,2,2,2,2,2,1,1,0,109.4,6252.7,0,0,456.57,6709.27,2,3,14
0104-PPXDV,1,61,1,0,San Diego,92113,32.697098,-117.116587,10,58,0,1,18.37,1,1,1,18,1,1,2,1,1,1,1,2,1,0,1,50.3,2878.55,10.23,0,1065.46,3933.78,2,3,14
0106-GHRQR,1,24,0,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,0,1,25.71,2,1,1,48,1,2,2,1,1,2,2,2,0,1,0,71.4,1212.1,0,0,411.36,1623.46,2,3,14
0106-UGRDO,0,55,1,0,Kenwood,95452,38.419525,-122.521585,3,69,1,1,38.52,2,1,2,27,2,2,2,2,2,2,2,2,2,1,0,116,8182.85,0,0,2657.88,10840.73,2,3,14
0107-WESLM,1,32,0,0,West Point,95255,38.41935,-120.469545,0,1,5,1,31.77,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,19.85,19.85,0,0,31.77,51.62,0,0,1
0107-YHINA,1,59,0,0,Los Angeles,90062,34.003553,-118.308933,0,1,0,1,40.71,2,1,2,25,1,1,2,1,2,2,2,2,0,1,0,99.75,99.75,0,0,40.71,140.46,0,1,2
0111-KLBQG,1,71,1,1,Morongo Valley,92256,34.097863,-116.594561,9,32,3,1,31.86,1,1,2,23,1,2,1,1,2,2,2,2,1,1,2,93.95,2861.45,0,0,1019.52,3880.97,2,3,14
0112-QAWRZ,1,49,1,2,Palo Verde,92266,33.3249,-114.758334,8,16,4,1,48.71,2,1,2,12,1,1,2,1,2,1,1,2,0,1,0,90.8,1442.2,0,0,779.36,2221.56,2,3,14
0112-QWPNC,1,61,1,0,Valyermo,93563,34.39583,-117.734568,1,49,2,1,39.55,2,1,0,10,2,1,2,2,2,2,2,2,1,0,0,84.35,4059.35,0,0,1937.95,5997.3,0,1,4
0114-IGABW,0,40,1,0,Cambria,93428,35.591387,-121.032256,2,71,1,0,0,0,1,0,29,1,2,2,2,2,2,2,2,2,0,0,58.25,4145.9,0,0,0,4145.9,2,3,14
0114-PEGZZ,0,39,0,0,Round Mountain,96084,40.923558,-122.059933,0,33,0,1,49.69,2,1,2,12,1,2,2,1,2,2,2,2,0,0,0,107.55,3645.5,0,0,1639.77,5285.27,2,3,14
0114-RSRRW,0,21,1,0,Klamath,95548,41.572813,-124.035011,9,10,4,1,49.6,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,19.95,187.75,0,0,496,683.75,2,3,14
0115-TFERT,1,24,1,0,Fresno,93650,36.841655,-119.797113,1,21,0,1,36.26,2,1,2,59,1,2,2,2,2,2,2,1,0,1,0,111.2,2317.1,0,120,761.46,3198.56,0,0,0
0117-LFRMW,1,52,1,1,Angwin,94508,38.542448,-122.419923,1,37,0,0,0,0,1,1,23,2,2,2,1,1,1,1,2,0,0,0,40.2,1448.8,0,0,0,1448.8,0,1,5
0118-JPNOY,0,71,0,0,Le Grand,95333,37.249377,-120.249581,0,26,0,1,33.74,1,1,2,7,2,1,1,1,2,1,1,2,0,1,1,85.8,2193.65,0,0,877.24,3070.89,2,3,14
0121-SNYRK,1,45,0,0,Redway,95560,40.142256,-123.852927,0,50,2,0,0,0,1,1,7,2,1,1,2,1,1,1,2,1,1,1,35.4,1748.9,0,0,0,1748.9,2,3,14
0122-OAHPZ,0,29,0,0,San Diego,92122,32.85723,-117.209774,0,7,0,1,28.62,2,1,2,26,1,1,1,1,1,1,2,2,0,1,0,73.85,511.25,13.03,0,200.34,698.56,0,1,3
0123-CRBRT,0,62,1,0,Monterey Park,91755,34.049172,-118.115022,1,61,2,1,47.19,2,1,1,28,2,2,2,2,2,2,2,2,2,0,2,88.1,5526.75,0,0,2878.59,8405.34,2,3,14
0125-LZQXK,1,42,0,0,Big Oak Flat,95305,37.818589,-120.256995,0,15,4,1,45.92,1,1,2,12,1,1,2,2,2,2,2,2,0,1,0,101.35,1553.95,0,0,688.8,2242.75,0,0,0
0128-MKWSG,0,51,0,2,Stevenson Ranch,91381,34.364153,-118.615583,0,26,0,0,0,0,1,1,19,2,1,1,2,1,2,2,2,0,0,1,45.8,1147,0,0,0,1147,2,3,14
0129-KPTWJ,1,39,1,0,North Highlands,95660,38.671295,-121.388251,9,72,0,1,33.22,1,1,2,23,1,1,2,1,2,2,2,2,0,1,0,94.65,6747.35,0,0,2391.84,9139.19,2,3,14
0129-QMPDR,1,64,1,0,La Puente,91746,34.038983,-117.991372,1,44,0,1,27.4,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,20.5,865.05,0,0,1205.6,2070.65,2,3,14
0130-SXOUN,1,55,0,0,Glenhaven,95443,39.045246,-122.743181,0,66,1,1,48.78,2,1,2,8,1,2,1,1,1,2,2,1,0,0,1,89.4,5976.9,36.02,40,3219.48,9200.36,2,3,14
0133-BMFZO,0,40,0,0,Alhambra,91803,34.074736,-118.145959,0,2,0,1,36.81,1,1,2,16,2,2,1,2,1,1,1,2,0,1,0,86.25,181.65,0,0,73.62,255.27,0,1,4
0134-XWXCE,0,76,0,0,Santa Monica,90403,34.031529,-118.491156,0,44,0,1,7.72,1,1,1,17,1,1,2,2,2,2,2,2,1,0,0,74.85,3268.05,17.91,0,339.68,3589.82,2,3,14
0135-NMXAP,0,57,0,0,Lodi,95240,38.123544,-121.159078,0,12,4,1,14.38,2,1,2,6,1,2,1,1,2,1,1,2,0,1,0,89.75,1052.4,0,0,172.56,1224.96,0,0,1
0136-IFMYD,1,71,1,0,Los Angeles,90001,33.973616,-118.24902,1,69,0,1,18.41,2,1,2,17,1,2,2,2,2,2,1,2,2,1,0,109.95,7634.25,0,0,1270.29,8904.54,2,3,14
0137-OCGAB,0,25,0,0,Fairfield,94533,38.287136,-122.02711,0,1,5,1,1.23,2,1,2,69,1,2,1,1,1,1,1,2,0,1,2,80.2,80.2,0,0,1.23,81.43,0,5,9
0137-UDEUO,0,24,0,0,Stockton,95204,37.974498,-121.319568,0,3,5,1,25.75,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19.85,63.75,0,0,77.25,141,0,5,12
0139-IVFJG,0,19,1,0,Temecula,92592,33.507255,-117.029473,10,2,0,1,4.65,1,1,2,53,2,2,1,1,2,1,1,2,0,0,0,90.35,190.5,0,0,9.3,199.8,1,3,14
0141-YEAYS,0,77,0,0,Fallbrook,92028,33.362575,-117.299644,0,27,0,1,2.97,2,1,2,4,1,2,2,1,1,1,1,2,2,1,0,86.45,2401.05,0,0,80.19,2481.24,2,3,14
0142-GVYSN,1,57,0,0,Randsburg,93554,35.405722,-117.773354,0,26,3,1,13.34,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,20.3,511.25,0,0,346.84,858.09,2,3,14
0147-ESWWR,0,73,1,0,Atascadero,93422,35.453912,-120.69461,9,39,0,1,20.15,2,1,2,21,1,1,1,2,2,2,2,2,0,1,0,101.25,3949.15,0,0,785.85,4735,2,3,14
0148-DCDOS,1,41,0,0,Planada,95365,37.329725,-120.306399,0,25,0,1,34.88,2,1,2,8,1,1,1,1,2,2,2,2,0,1,0,94.7,2362.1,0,0,872,3234.1,0,1,2
0151-ONTOV,0,43,0,0,Moorpark,93021,34.312945,-118.858169,0,1,5,1,39.81,1,1,2,23,1,1,1,1,1,1,1,2,0,0,2,70.9,70.9,0,0,39.81,110.71,0,1,2
0156-FVPTA,1,48,1,0,Solvang,93463,34.624399,-120.137875,1,22,4,1,27.24,1,1,1,21,2,1,1,2,1,1,1,2,0,1,0,54.2,1152.7,0,0,599.28,1751.98,0,0,0
0164-APGRB,0,56,0,0,Calistoga,94515,38.629618,-122.593216,0,72,1,1,48.37,2,1,2,5,2,2,2,2,2,2,2,2,2,1,0,114.9,8496.7,0,0,3482.64,11979.34,2,3,14
0164-XAIRP,0,51,0,0,La Mirada,90638,33.902045,-118.008961,0,24,0,1,10.64,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0,19.55,470.2,0,0,255.36,725.56,2,3,14
0168-XZKBB,0,34,1,0,Boron,93516,34.95703,-117.73045,8,19,0,1,7.84,2,1,2,16,1,1,1,1,2,1,1,2,0,1,0,86.85,1564.4,0,0,148.96,1713.36,2,3,14
0174-QRVVY,1,21,1,2,San Marcos,92078,33.119028,-117.166036,2,71,0,1,9.2,2,0,3,0,0,0,0,0,0,0,0,0,2,0,1,25.35,1847.55,0,0,653.2,2500.75,2,3,14
0177-PXBAT,1,78,1,0,Desert Center,92239,33.889605,-115.257009,7,33,0,1,25.15,2,1,2,20,2,1,2,2,2,2,1,2,1,1,0,109.9,3694.7,0,0,829.95,4524.65,2,3,14
0178-CIIKR,0,60,0,0,Crows Landing,95313,37.435664,-121.049056,0,3,0,1,2.69,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19.95,58,0,0,8.07,66.07,1,3,14
0178-SZBHO,1,54,1,1,Tuolumne,95379,37.939768,-120.188002,7,47,0,1,1.09,2,1,2,13,1,2,1,1,2,1,1,2,0,0,0,87.2,4017.45,0,0,51.23,4068.68,2,3,14
0181-RITDD,1,42,1,3,San Diego,92120,32.807867,-117.060993,2,62,0,1,1.76,1,1,2,20,2,2,2,2,2,2,2,2,2,0,1,108.15,6825.65,0,0,109.12,6934.77,2,3,14
0186-CAERR,1,22,0,0,Auburn,95603,38.912881,-121.082766,0,71,0,1,2.88,2,1,2,48,2,2,2,2,2,2,2,2,1,1,0,116.3,8309.55,0,0,204.48,8514.03,2,3,14
0187-QSXOE,1,71,1,0,Fresno,93725,36.623632,-119.741322,8,7,0,1,41.97,1,1,2,11,1,1,1,1,2,2,2,2,2,1,0,89,605.45,0,0,293.79,899.24,2,3,14
0187-WZNAB,0,56,1,2,Del Rey,93616,36.657462,-119.595293,6,27,3,1,46.66,1,1,2,28,2,1,1,1,1,1,1,2,0,0,1,74.4,1972.35,0,0,1259.82,3232.17,2,3,14
0188-GWFLE,1,33,0,0,Redwood City,94065,37.527497,-122.230941,0,2,0,1,1.81,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,20.05,33.7,0,0,3.62,37.32,1,3,14
0191-EQUUH,0,32,0,3,Landers,92285,34.341737,-116.539416,0,25,3,0,0,0,1,0,75,2,1,1,2,1,1,1,2,2,0,0,35.05,844.45,0,0,0,844.45,2,3,14
0191-ZHSKZ,1,80,0,0,Hawthorne,90250,33.914775,-118.348083,0,30,0,1,38.61,1,1,1,5,2,2,1,1,2,2,1,2,1,1,0,74.75,2111.3,0,0,1158.3,3269.6,2,3,14
0193-ESZXP,0,73,1,0,Oceano,93445,35.059695,-120.604741,1,58,0,1,16.94,1,1,2,19,2,2,1,2,2,2,2,2,1,1,1,105.5,6205.5,0,0,982.52,7188.02,0,0,1
0195-IESCP,1,26,1,0,Armona,93202,36.315979,-119.710852,1,10,4,1,2.02,2,1,2,82,1,1,1,1,1,2,2,1,0,1,0,85.25,855.3,0,100,20.2,975.5,0,1,5
0196-JTUQI,0,59,0,0,Clarksburg,95612,38.384648,-121.578701,0,9,0,1,9.27,2,1,2,28,1,1,1,1,1,1,1,2,0,1,1,75.2,633.85,0,0,83.43,717.28,2,3,14
0196-VULGZ,0,78,1,0,Irvine,92620,33.716136,-117.752574,1,6,0,1,28.71,2,1,2,17,1,1,1,1,1,2,1,2,0,1,0,84.35,474.9,0,0,172.26,647.16,0,4,6
0197-PNKNK,0,47,1,1,Scotts Valley,95066,37.070177,-122.010077,7,69,0,1,38.92,2,1,2,16,2,1,2,1,1,1,1,1,1,0,0,84.45,5848.6,0,40,2685.48,8574.08,2,3,14
0201-MIBOL,0,68,0,0,Salida,95368,37.713152,-121.08739,0,66,0,1,10.45,2,1,2,20,2,1,1,1,2,2,2,2,2,1,0,102.4,6471.85,0,0,689.7,7161.55,2,3,14
0201-OAMXR,0,30,0,0,Mckinleyville,95519,40.965011,-124.015255,0,70,1,1,10.21,2,1,2,52,2,2,2,2,2,2,2,2,1,0,1,115.55,8127.6,0,0,714.7,8842.3,0,2,15
0203-HHYIJ,1,62,0,0,Atherton,94027,37.454924,-122.203168,0,25,3,1,5.57,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,25.3,676.35,0,0,139.25,815.6,0,5,12
0206-OYVOC,0,52,1,2,Huntington Beach,92649,33.721917,-118.043237,1,46,2,1,24.33,1,0,3,0,0,0,0,0,0,0,0,0,2,1,1,19.25,864.2,0,0,1119.18,1983.38,2,3,14
0206-TBWLC,0,63,1,0,Calimesa,92320,33.982787,-117.057627,7,54,2,1,11.4,2,1,2,26,2,2,2,2,2,2,2,2,1,1,1,114.65,6049.5,0,0,615.6,6665.1,2,3,14
0207-MDKNV,0,54,0,0,Daly City,94014,37.691561,-122.445202,0,15,0,1,22.39,1,1,2,7,2,1,2,2,2,2,2,2,0,0,0,105.1,1582.75,0,0,335.85,1918.6,0,1,3
0208-BPQEJ,0,48,1,1,Middletown,95461,38.787446,-122.58675,0,12,4,1,8.25,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19.4,198.1,0,0,99,297.1,2,3,14
0212-ISBBF,0,51,0,0,Berkeley,94705,37.858898,-122.240512,0,22,0,0,0,0,1,0,22,1,2,1,1,2,2,2,2,0,1,0,50.35,1098.85,0,0,0,1098.85,2,3,14
0214-JHPFW,0,22,1,0,Lost Hills,93249,35.637715,-119.893068,9,70,0,0,0,0,1,0,85,1,2,2,2,2,2,2,2,2,0,0,57.8,4039.3,1.01,0,0,4038.29,2,3,14
0215-BQKGS,1,52,0,0,Garden Grove,92844,33.766476,-117.969795,0,30,3,1,24.73,1,1,2,20,2,2,2,1,1,1,1,1,0,1,1,84.3,2438.6,0,130,741.9,3310.5,2,3,14
0218-QNVAS,1,22,1,1,Indio,92203,33.752938,-116.230055,1,71,1,1,28.34,2,1,2,59,1,2,1,1,2,2,2,2,1,0,0,100.55,7113.75,16.99,0,2012.14,9108.9,2,3,14
0219-QAERP,1,33,1,0,Oxnard,93033,34.156629,-119.117218,2,30,0,1,9.81,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,19.8,576.65,0,0,294.3,870.95,2,3,14
